signal,status,evidence,why_it_matters
stimulus onset,已有,BIDS events.tsv 含 onset；本地 manifest 含 p1_tsidx,支持 trial-level 窗口切片
discrete phoneme labels,已有,phoneme1/2/3 在 local manifest 与 BIDS events 中均可见,支持 unit-level speech token 准备
articulatory labels,已有,place / manner / voicing 在 phoneme 条件下可用,适合构建粗粒度 EEG token
lexical labels,已有,Words 任务含 real / nonce 和 20 个 lexical bases,支持高层 speech unit 对齐准备
TMS / condition labels,已有,tmstarget 与 tms 标记完整,支持 domain / condition 分析
public stimulus audio,缺失,"raw file extensions={'.edf': 56, '.json': 136, '.tsv': 112}",没有公开语音波形就无法直接做 EEG-to-audio 监督
subject-produced speech audio,缺失,任务描述是 listened to audio clips and responded with button presses,不支持 spoken EEG 到用户自身语音的直接配对
phoneme boundaries / durations,缺失,events.tsv 只有 trial-level onset，没有逐音素声学边界,不支持 frame-level speech alignment
mel / vocoder target,缺失,公开数据中未提供 mel-spectrogram 或 waveform targets,不能直接作为 Lee 2023 式重建监督
imagined speech EEG,缺失,Moreira 是 auditory discrimination，不是 imagined speech,不能单独承担 imagined EEG 到 voice 主线
